# kml2gmt: KML read from ../../../data/DEM/south_island/gnsNZL_GNS_250K_faults.kml
# gns:NZL_GNS_250K_faults
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_2024"
169.613566651	-44.3945661102
169.614398804	-44.3932483982
169.615226499	-44.3919530693
169.616344653	-44.3906302242
169.617091836	-44.3893685527
169.596686614	-44.4022853088
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_204a"
169.594959157	-44.4082190041
169.595143145	-44.4074767978
169.595511479	-44.4061500292
169.595906251	-44.4049096125
169.596495456	-44.4033461513
169.596781231	-44.4017602261
169.597126866	-44.4002256083
169.59762516	-44.3991503786
169.597998814	-44.397729179
169.598456651	-44.3963735119
168.949379502	-44.3820426226
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_204b"
168.939770679	-44.3870895217
168.940333005	-44.3866318128
168.940553769	-44.3864819212
168.941218831	-44.3859917935
168.942042225	-44.3853000046
168.943569491	-44.3844213
168.945371384	-44.3837054468
168.947372798	-44.3826902362
168.948984277	-44.3821388183
168.951070165	-44.3816311232
168.952648483	-44.3809207996
168.954836756	-44.3799255593
168.95626562	-44.379286519
168.957180887	-44.378854665
168.958720047	-44.3777959728
168.959202943	-44.3773939539
169.594944587	-44.4085000635
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_204c"
169.594930016	-44.4087811228
169.594959157	-44.4082190041
168.806697757	-44.382953129
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_204d"
168.80973005	-44.3817722253
168.809428781	-44.3819009119
168.808141328	-44.3823811048
168.805975712	-44.3832392442
168.804625535	-44.3837171087
168.803843919	-44.3840625339
168.803677097	-44.3841555657
169.594646997	-44.4103147661
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_204e"
169.5940942	-44.4117920367
169.594880992	-44.4096894497
169.594930016	-44.4087811228
169.44690081	-44.4052356529
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_204f"
169.448670989	-44.4020507414
169.448348902	-44.4027074374
169.447480628	-44.4040904929
169.446979083	-44.4051200069
169.446375858	-44.4060112596
169.44598315	-44.4065351521
169.445495416	-44.407281323
169.44478937	-44.4082099363
169.972178032	-44.4167039912
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_2050"
169.961769519	-44.4239473819
169.963163519	-44.4231058945
169.965054061	-44.4219532013
169.967098723	-44.4206108887
169.969240849	-44.419018925
169.971193779	-44.4173769388
169.973179222	-44.4160194639
169.97434217	-44.4144648238
169.975512618	-44.413378685
169.976600193	-44.4120066775
169.977756761	-44.4108210879
169.978064734	-44.4105094203
169.978786009	-44.4094205191
169.979374991	-44.4084002071
169.98004059	-44.4069225841
168.804939018	-44.374722712
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_2051"
168.794877635	-44.3899841094
168.795270728	-44.3888315118
168.795671665	-44.3878774528
168.79613258	-44.3866101863
168.797099873	-44.3844512888
168.797128204	-44.3841414299
168.797187168	-44.3834451988
168.797350871	-44.3824689387
168.797790733	-44.3816289422
168.798431548	-44.3807016747
168.799404052	-44.3793945364
168.800119235	-44.3783483262
168.80099143	-44.3774790705
168.801872481	-44.3765290296
168.802757732	-44.3756962849
168.803346225	-44.3753708487
168.804850218	-44.3747589466
168.806522507	-44.3740765731
168.808494029	-44.3730716746
168.810014746	-44.3722665726
168.81151758	-44.3717131183
168.814061502	-44.3705172335
168.815258804	-44.3699751246
168.817159041	-44.3688638561
168.818482279	-44.3679613415
168.818941519	-44.3670634082
168.819202865	-44.3660771675
168.819866772	-44.3650379944
168.820325187	-44.3645950998
169.491949054	-44.4013318113
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_2052"
169.499328931	-44.3894301094
169.498535627	-44.3908968669
169.497871676	-44.3920342477
169.4973838	-44.3931679664
169.496766634	-44.3937257374
169.496384076	-44.3940339024
169.495764287	-44.3945825806
169.494784905	-44.3956878384
169.49392478	-44.3969003092
169.493838601	-44.3973480969
169.493175725	-44.3990484961
169.492661957	-44.4000868225
169.492213867	-44.4010235515
169.490739525	-44.4027397851
169.490054933	-44.4036377808
169.489008665	-44.4047544695
169.488515348	-44.4053925401
169.487868606	-44.4064988648
169.487032101	-44.4078381223
169.486512013	-44.4089798275
169.485940065	-44.4102010241
169.485314235	-44.4112178925
169.484818098	-44.4121666458
169.484334092	-44.4132283694
168.906270142	-44.3933240561
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_2053"
168.908705373	-44.3919486322
168.907573449	-44.3926877794
168.905973614	-44.3934688216
168.905123613	-44.394037769
168.904247277	-44.3946237941
168.903920802	-44.3948464445
168.998252976	-44.3944576962
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_2054"
169.002824485	-44.3900830378
169.00103191	-44.3918768672
168.999167257	-44.3935735536
168.998141942	-44.3945650709
168.996630297	-44.3962424684
168.994918291	-44.3974443239
168.993702454	-44.3980462226
168.993311174	-44.3983029054
168.937153292	-44.3921586153
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_2055"
168.932856208	-44.3963154218
168.933841012	-44.3957014819
168.935543323	-44.3942478691
168.936217528	-44.3933526047
168.936407518	-44.3931025135
168.937494899	-44.3917262545
168.938628846	-44.3905859119
168.939783606	-44.3890047668
168.939814473	-44.3873208433
168.939770679	-44.3870895217
169.592730943	-44.4151700542
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_2056"
169.591745893	-44.4187036434
169.591914565	-44.4180105306
169.592223068	-44.4169071941
169.592624997	-44.4155994395
169.59298134	-44.4141552229
169.593624105	-44.4130842715
169.5940942	-44.4117920367
168.833159217	-44.3890772809
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_2057"
168.8417509	-44.3843775262
168.840316292	-44.3849879219
168.837693385	-44.3865014395
168.834331059	-44.3884747035
168.832440333	-44.3894469411
168.830699047	-44.3903930323
168.828660831	-44.3914499716
168.827384383	-44.3921740906
168.826225969	-44.3926501668
168.825176268	-44.3931436989
168.824440974	-44.3935450178
168.824076533	-44.386720024
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_2058"
168.835738572	-44.3796496214
168.834697423	-44.3804273971
168.83308114	-44.3813870587
168.830968606	-44.3825674907
168.829487648	-44.3834328911
168.827933498	-44.384800249
168.8260239	-44.3858618067
168.823964909	-44.3867692171
168.821883966	-44.3879416283
168.819717305	-44.3885927322
168.817693032	-44.3896725137
168.815642559	-44.3908549378
168.81340446	-44.3921566499
168.812788713	-44.3926433539
168.812044152	-44.3931298652
169.597341565	-44.4153403109
> -L"NZL_GNS_250K_faults.fid-15c1d800_14e04f2b231_2059"
169.5940942	-44.4117920367
169.594302084	-44.4119467989
